ex_name,approach,data_type,steepness,steepness_loss,lambda,training_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
lambda_value,Loss_Function,experiment,6.388,6.388,0.001,100.0,223.384,74.379,392.51,116.896
lambda_value,Loss_Function,experiment,6.388,6.388,0.001,100.0,252.403,71.973,417.936,121.4
lambda_value,Loss_Function,experiment,6.388,6.388,0.001,100.0,306.655,89.905,447.47,86.911
lambda_value,Loss_Function,experiment,6.388,6.388,0.001,100.0,268.507,88.425,453.559,100.466
lambda_value,Loss_Function,experiment,6.388,6.388,0.001,100.0,325.996,91.104,487.241,92.77
lambda_value,Loss_Function,experiment,6.388,6.388,0.01,100.0,223.477,74.268,392.559,117.375
lambda_value,Loss_Function,experiment,6.388,6.388,0.01,100.0,253.3,70.75,417.785,121.861
lambda_value,Loss_Function,experiment,6.388,6.388,0.01,100.0,306.334,89.685,447.217,86.858
lambda_value,Loss_Function,experiment,6.388,6.388,0.01,100.0,267.861,88.809,453.771,100.955
lambda_value,Loss_Function,experiment,6.388,6.388,0.01,100.0,327.778,89.407,488.956,92.931
lambda_value,Loss_Function,experiment,6.388,6.388,0.1,100.0,226.534,73.623,394.204,115.463
lambda_value,Loss_Function,experiment,6.388,6.388,0.1,100.0,260.864,59.926,427.02,122.69
lambda_value,Loss_Function,experiment,6.388,6.388,0.1,100.0,304.231,87.965,445.866,88.414
lambda_value,Loss_Function,experiment,6.388,6.388,0.1,100.0,269.558,84.63,459.695,104.818
lambda_value,Loss_Function,experiment,6.388,6.388,0.1,100.0,322.479,87.922,484.868,96.434
lambda_value,Loss_Function,experiment,6.388,6.388,1.0,100.0,237.913,59.234,415.091,115.465
lambda_value,Loss_Function,experiment,6.388,6.388,1.0,100.0,242.439,81.693,416.343,117.767
lambda_value,Loss_Function,experiment,6.388,6.388,1.0,100.0,248.192,79.031,440.129,94.523
lambda_value,Loss_Function,experiment,6.388,6.388,1.0,100.0,289.459,88.705,458.816,120.726
lambda_value,Loss_Function,experiment,6.388,6.388,1.0,100.0,330.615,81.557,497.182,124.696
lambda_value,Loss_Function,experiment,6.388,6.388,10.0,100.0,306.421,123.612,347.972,115.738
lambda_value,Loss_Function,experiment,6.388,6.388,10.0,100.0,298.254,127.8,360.559,82.833
lambda_value,Loss_Function,experiment,6.388,6.388,10.0,100.0,317.358,79.324,387.707,51.441
lambda_value,Loss_Function,experiment,6.388,6.388,10.0,100.0,299.933,104.316,441.855,28.541
lambda_value,Loss_Function,experiment,6.388,6.388,10.0,100.0,272.342,98.358,454.989,89.316
lambda_value,Loss_Function,experiment,6.388,6.388,100.0,100.0,309.796,146.134,336.242,140.499
lambda_value,Loss_Function,experiment,6.388,6.388,100.0,100.0,340.282,93.525,341.657,116.317
lambda_value,Loss_Function,experiment,6.388,6.388,100.0,100.0,342.775,102.192,342.787,137.732
lambda_value,Loss_Function,experiment,6.388,6.388,100.0,100.0,310.682,138.558,345.624,122.303
lambda_value,Loss_Function,experiment,6.388,6.388,100.0,100.0,319.743,124.442,349.972,111.044
lambda_value,Loss_Function,experiment,6.388,6.388,1000.0,100.0,313.435,154.439,329.52,157.059
lambda_value,Loss_Function,experiment,6.388,6.388,1000.0,100.0,328.805,126.042,331.104,152.479
lambda_value,Loss_Function,experiment,6.388,6.388,1000.0,100.0,321.164,154.343,341.429,152.889
lambda_value,Loss_Function,experiment,6.388,6.388,1000.0,100.0,329.809,120.92,353.024,116.661
lambda_value,Loss_Function,experiment,6.388,6.388,1000.0,100.0,330.104,116.508,360.345,105.69
lambda_value,Loss_Function,experiment,6.388,6.388,10000.0,100.0,319.407,155.665,332.131,167.217
lambda_value,Loss_Function,experiment,6.388,6.388,10000.0,100.0,344.763,125.377,334.559,171.881
lambda_value,Loss_Function,experiment,6.388,6.388,10000.0,100.0,324.529,123.141,346.165,120.65
lambda_value,Loss_Function,experiment,6.388,6.388,10000.0,100.0,316.919,128.234,347.037,114.534
lambda_value,Loss_Function,experiment,6.388,6.388,10000.0,100.0,347.217,120.498,379.75,111.53
lambda_value,Loss_Function,synthetic,10.0,10.0,0.001,20.0,314.388,107.281,290.522,83.765
lambda_value,Loss_Function,synthetic,10.0,10.0,0.001,20.0,307.227,121.58,306.8,118.856
lambda_value,Loss_Function,synthetic,10.0,10.0,0.001,20.0,310.918,132.344,316.678,122.633
lambda_value,Loss_Function,synthetic,10.0,10.0,0.001,20.0,327.111,123.137,371.327,136.269
lambda_value,Loss_Function,synthetic,10.0,10.0,0.001,20.0,357.108,135.116,445.495,197.726
lambda_value,Loss_Function,synthetic,10.0,10.0,0.01,20.0,314.278,106.81,290.907,83.504
lambda_value,Loss_Function,synthetic,10.0,10.0,0.01,20.0,308.33,121.456,307.357,118.921
lambda_value,Loss_Function,synthetic,10.0,10.0,0.01,20.0,309.658,132.613,315.652,122.585
lambda_value,Loss_Function,synthetic,10.0,10.0,0.01,20.0,326.31,123.154,370.613,136.314
lambda_value,Loss_Function,synthetic,10.0,10.0,0.01,20.0,358.782,134.665,445.611,191.997
lambda_value,Loss_Function,synthetic,10.0,10.0,0.1,20.0,306.997,106.989,283.655,84.191
lambda_value,Loss_Function,synthetic,10.0,10.0,0.1,20.0,302.811,137.381,311.184,126.73
lambda_value,Loss_Function,synthetic,10.0,10.0,0.1,20.0,319.799,128.222,320.808,123.475
lambda_value,Loss_Function,synthetic,10.0,10.0,0.1,20.0,315.973,117.933,358.734,133.75
lambda_value,Loss_Function,synthetic,10.0,10.0,0.1,20.0,339.678,125.155,417.235,179.533
lambda_value,Loss_Function,synthetic,10.0,10.0,1.0,20.0,220.052,98.692,224.411,100.621
lambda_value,Loss_Function,synthetic,10.0,10.0,1.0,20.0,261.056,111.238,230.896,90.499
lambda_value,Loss_Function,synthetic,10.0,10.0,1.0,20.0,247.548,94.764,244.894,95.169
lambda_value,Loss_Function,synthetic,10.0,10.0,1.0,20.0,252.237,108.521,290.276,123.76
lambda_value,Loss_Function,synthetic,10.0,10.0,1.0,20.0,281.652,102.768,343.13,142.768
lambda_value,Loss_Function,synthetic,10.0,10.0,10.0,20.0,164.953,71.624,167.409,79.022
lambda_value,Loss_Function,synthetic,10.0,10.0,10.0,20.0,221.597,94.838,185.667,84.026
lambda_value,Loss_Function,synthetic,10.0,10.0,10.0,20.0,174.175,77.945,195.786,90.299
lambda_value,Loss_Function,synthetic,10.0,10.0,10.0,20.0,258.087,115.554,234.228,102.095
lambda_value,Loss_Function,synthetic,10.0,10.0,10.0,20.0,226.834,98.084,278.396,117.654
lambda_value,Loss_Function,synthetic,10.0,10.0,100.0,20.0,217.858,119.554,212.402,111.907
lambda_value,Loss_Function,synthetic,10.0,10.0,100.0,20.0,217.489,101.102,256.768,133.111
lambda_value,Loss_Function,synthetic,10.0,10.0,100.0,20.0,288.121,146.197,275.133,131.727
lambda_value,Loss_Function,synthetic,10.0,10.0,100.0,20.0,295.843,129.493,304.966,130.223
lambda_value,Loss_Function,synthetic,10.0,10.0,100.0,20.0,348.21,127.491,306.039,126.463
lambda_value,Loss_Function,synthetic,10.0,10.0,1000.0,20.0,318.915,137.793,305.484,141.583
lambda_value,Loss_Function,synthetic,10.0,10.0,1000.0,20.0,293.01,129.671,307.767,131.92
lambda_value,Loss_Function,synthetic,10.0,10.0,1000.0,20.0,247.264,120.576,307.977,147.686
lambda_value,Loss_Function,synthetic,10.0,10.0,1000.0,20.0,367.841,118.419,328.102,131.683
lambda_value,Loss_Function,synthetic,10.0,10.0,1000.0,20.0,267.202,118.81,337.863,166.329
lambda_value,Loss_Function,synthetic,10.0,10.0,10000.0,20.0,272.318,134.125,278.095,133.974
lambda_value,Loss_Function,synthetic,10.0,10.0,10000.0,20.0,280.342,134.982,291.764,138.541
lambda_value,Loss_Function,synthetic,10.0,10.0,10000.0,20.0,349.739,152.25,312.142,142.91
lambda_value,Loss_Function,synthetic,10.0,10.0,10000.0,20.0,370.676,138.441,333.242,132.211
lambda_value,Loss_Function,synthetic,10.0,10.0,10000.0,20.0,280.958,127.803,348.754,163.426
steepness_value,Data_Baseline,synthetic,5.0,5.0,100.0,20.0,495.239,178.236,478.504,168.392
steepness_value,Data_Baseline,synthetic,5.0,5.0,100.0,20.0,379.567,195.119,486.692,165.446
steepness_value,Data_Baseline,synthetic,5.0,5.0,100.0,20.0,378.172,183.738,488.052,142.34
steepness_value,Data_Baseline,synthetic,5.0,5.0,100.0,20.0,387.43,153.509,497.216,170.171
steepness_value,Data_Baseline,synthetic,5.0,5.0,100.0,20.0,400.265,166.873,509.38,225.146
steepness_value,Data_Baseline,synthetic,10.0,10.0,100.0,20.0,314.823,107.55,292.13,84.027
steepness_value,Data_Baseline,synthetic,10.0,10.0,100.0,20.0,307.453,122.0,307.115,119.244
steepness_value,Data_Baseline,synthetic,10.0,10.0,100.0,20.0,312.291,133.497,318.774,123.481
steepness_value,Data_Baseline,synthetic,10.0,10.0,100.0,20.0,326.853,122.839,370.583,136.07
steepness_value,Data_Baseline,synthetic,10.0,10.0,100.0,20.0,354.978,120.937,424.272,172.519
steepness_value,Data_Baseline,synthetic,20.0,20.0,100.0,20.0,269.138,88.772,243.094,68.975
steepness_value,Data_Baseline,synthetic,20.0,20.0,100.0,20.0,264.49,86.976,271.392,89.638
steepness_value,Data_Baseline,synthetic,20.0,20.0,100.0,20.0,300.644,80.025,296.665,77.833
steepness_value,Data_Baseline,synthetic,20.0,20.0,100.0,20.0,297.049,97.483,340.674,120.342
steepness_value,Data_Baseline,synthetic,20.0,20.0,100.0,20.0,444.83,168.049,387.418,275.789
steepness_value,Data_Baseline,synthetic,40.0,40.0,100.0,20.0,257.837,83.45,230.803,66.016
steepness_value,Data_Baseline,synthetic,40.0,40.0,100.0,20.0,254.084,74.957,255.527,81.121
steepness_value,Data_Baseline,synthetic,40.0,40.0,100.0,20.0,286.785,89.063,295.701,91.441
